,title,location,price,region,property,building,land_area,util_area,payment
470,Pronájem skladovacích prostor 3 160 m²,"Hřbitovní, Plzeň - Doubravka",316 295,plzensky-kraj,skladovací prostory,smíšená,,3160 m,monthly
471,Pronájem skladovacích prostor 3 160 m²,"Hřbitovní, Plzeň - Doubravka",316 295,plzensky-kraj,skladovací prostory,smíšená,,,monthly
472,Pronájem bytu 2+kk 61 m²,"Svatopluka Čecha, Starý Plzenec, okres Plzeň-město",12 700,plzensky-kraj,novostavba,cihlová,,61 m,monthly
473,Prodej domu 220 m² s pozemkem 693 m²,"Sulislav, okres Tachov",3 764 000,plzensky-kraj,osobní,smíšená,693 m,220 m,total
474,Pronájem obchodních prostor 49 m²,"Slovanská, Plzeň - Východní Předměstí",8 900,plzensky-kraj,osobní,cihlová,,49 m,monthly
475,Prodej domu 314 m² s pozemkem 247 m²,"Branská, Domažlice - Město",7 875 000,plzensky-kraj,osobní,cihlová,247 m,314 m,total
476,Pronájem bytu 2+kk 61 m²,"Svatopluka Čecha, Starý Plzenec, okres Plzeň-město",12 700,plzensky-kraj,novostavba,cihlová,,,monthly
477,Prodej domu 220 m² s pozemkem 693 m²,"Sulislav, okres Tachov",3 764 000,plzensky-kraj,osobní,smíšená,693 m,,total
478,Prodej domu 220 m² s pozemkem 693 m²,"Sulislav, okres Tachov",3 764 000,plzensky-kraj,osobní,smíšená,,220 m,total
479,Prodej domu 220 m² s pozemkem 693 m²,"Sulislav, okres Tachov",3 764 000,plzensky-kraj,osobní,smíšená,,,total
480,Pronájem obchodních prostor 49 m²,"Slovanská, Plzeň - Východní Předměstí",8 900,plzensky-kraj,osobní,cihlová,,,monthly
481,Prodej domu 314 m² s pozemkem 247 m²,"Branská, Domažlice - Město",7 875 000,plzensky-kraj,osobní,cihlová,247 m,,total
482,Prodej domu 314 m² s pozemkem 247 m²,"Branská, Domažlice - Město",7 875 000,plzensky-kraj,osobní,cihlová,,314 m,total
483,Prodej domu 314 m² s pozemkem 247 m²,"Branská, Domažlice - Město",7 875 000,plzensky-kraj,osobní,cihlová,,,total
484,Pronájem bytu 1+kk 32 m²,"Hodonínská, Plzeň - Severní Předměstí",8 000,plzensky-kraj,osobní,panelová,,32 m,monthly
485,Pronájem bytu 1+kk 32 m²,"Hodonínská, Plzeň - Severní Předměstí",8 000,plzensky-kraj,osobní,panelová,,,monthly
486,Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000,plzensky-kraj,osobní,cihlová,382 m,135 m,total
