title,location,price,region,property,building,land_area,util_area
Pronájem bytu 1+1 50 m²,"Americká, Plzeň - Jižní Předměstí",10 000 Kč/měsíc,plzensky-kraj,osobní,cihlová,,50 m
Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000 Kč,plzensky-kraj,osobní,smíšená,912 m,
Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000 Kč,plzensky-kraj,osobní,smíšená,,79 m
Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000 Kč,plzensky-kraj,osobní,smíšená,,
Pronájem bytu 1+1 50 m²,"Americká, Plzeň - Jižní Předměstí",10 000 Kč/měsíc,plzensky-kraj,osobní,cihlová,,
Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000 Kč,plzensky-kraj,řadový,cihlová,2094 m,255 m
Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000 Kč,plzensky-kraj,řadový,cihlová,2094 m,
Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000 Kč,plzensky-kraj,řadový,cihlová,,255 m
Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000 Kč,plzensky-kraj,řadový,cihlová,,
Prodej louky 3 003 m²,"Tymákov, okres Plzeň-město",1 570 000 Kč,plzensky-kraj,,3003 m,,
Prodej chaty/chalupy s pozemkem 256 m²,"Újezd nade Mží, okres Plzeň-sever",790 000 Kč,plzensky-kraj,samota,dřevěná,256 m,
Prodej chaty/chalupy s pozemkem 256 m²,"Újezd nade Mží, okres Plzeň-sever",790 000 Kč,plzensky-kraj,samota,dřevěná,,
Pronájem skladovacích prostor 3 900 m²,"Kyšice, okres Plzeň-město",Cena na vyžádání,plzensky-kraj,skladovací prostory,smíšená,,3900 m
Pronájem skladovacích prostor 3 900 m²,"Kyšice, okres Plzeň-město",Cena na vyžádání,plzensky-kraj,skladovací prostory,smíšená,,
Prodej bytu 2+kk 47 m²,"Žežická, Ústí nad Labem - Krásné Březno",1 280 000 Kč,ustecky-kraj,dobrý stav,panelová,,47 m
Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000 Kč,plzensky-kraj,osobní,cihlová,3719 m,118 m
Prodej bytu 2+kk 47 m²,"Žežická, Ústí nad Labem - Krásné Březno",1 280 000 Kč,ustecky-kraj,dobrý stav,panelová,,
Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000 Kč,plzensky-kraj,osobní,cihlová,3719 m,
Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000 Kč,plzensky-kraj,osobní,cihlová,,118 m
Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000 Kč,plzensky-kraj,osobní,cihlová,,
Prodej bytu 3+1 68 m²,"Vroutek - Mlýnce, okres Louny",1 790 000 Kč,ustecky-kraj,osobní,smíšená,,68 m
Pronájem kanceláře 30 m²,"Kopeckého sady, Plzeň - Vnitřní Město",14 900 Kč/měsíc,plzensky-kraj,kanceláře,cihlová,,30 m
Prodej bytu 3+1 68 m²,"Vroutek - Mlýnce, okres Louny",1 790 000 Kč,ustecky-kraj,osobní,smíšená,,
Pronájem kanceláře 30 m²,"Kopeckého sady, Plzeň - Vnitřní Město",14 900 Kč/měsíc,plzensky-kraj,kanceláře,cihlová,,
Prodej komerčního pozemku 32 759 m²,"Očihov, okres Louny",Cena na vyžádání,ustecky-kraj,,32759 m,,
Prodej komerčního pozemku 2 268 m²,"Okružní, Most",3 538 000 Kč,ustecky-kraj,,2268 m,,
Prodej pole 14 779 m²,"Obrnice, okres Most",810 000 Kč,ustecky-kraj,,14779 m,,
Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000 Kč,ustecky-kraj,osobní,smíšená,1323 m,400 m
Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000 Kč,ustecky-kraj,osobní,smíšená,1323 m,
Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000 Kč,ustecky-kraj,osobní,smíšená,,400 m
Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000 Kč,ustecky-kraj,osobní,smíšená,,
Pronájem komerčního objektu (jiného typu) 130 m²,"Palachova, Ústí nad Labem - Klíše",Cena na vyžádání,ustecky-kraj,osobní,cihlová,,130 m
Pronájem komerčního objektu (jiného typu) 130 m²,"Palachova, Ústí nad Labem - Klíše",Cena na vyžádání,ustecky-kraj,osobní,cihlová,,
Prodej bytu 2+1 60 m²,"Matěje Kopeckého, Chomutov",1 899 000 Kč,ustecky-kraj,osobní,panelová,,60 m
Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000 Kč,ustecky-kraj,v bloku,smíšená,366 m,130 m
Prodej bytu 2+1 60 m²,"Matěje Kopeckého, Chomutov",1 899 000 Kč,ustecky-kraj,osobní,panelová,,
Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000 Kč,ustecky-kraj,v bloku,smíšená,366 m,
Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000 Kč,ustecky-kraj,v bloku,smíšená,,130 m
Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000 Kč,ustecky-kraj,v bloku,smíšená,,
Prodej zahrady 312 m²,"Žatec, okres Louny",990 000 Kč,ustecky-kraj,312 m,osobní,,
Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000 Kč,ustecky-kraj,osobní,smíšená,990 m,56 m
Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000 Kč,ustecky-kraj,osobní,smíšená,990 m,
Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000 Kč,ustecky-kraj,osobní,smíšená,,56 m
Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000 Kč,ustecky-kraj,osobní,smíšená,,
Prodej bytu 3+1 61 m²,"Borová, Chomutov",1 370 000 Kč,ustecky-kraj,družstevní,panelová,,61 m
Prodej bytu 3+1 61 m²,"Borová, Chomutov",1 370 000 Kč,ustecky-kraj,družstevní,panelová,,
Pronájem bytu 1+1 35 m²,"Jirkovská, Chomutov",6 500 Kč/měsíc,ustecky-kraj,po rekonstrukci,panelová,,35 m
Prodej bytu 2+kk 47 m²,"Prosetická, Teplice - Prosetice",850 000 Kč,ustecky-kraj,družstevní,panelová,,47 m
Pronájem bytu 1+1 35 m²,"Jirkovská, Chomutov",6 500 Kč/měsíc,ustecky-kraj,po rekonstrukci,panelová,,
Prodej bytu 2+kk 47 m²,"Prosetická, Teplice - Prosetice",850 000 Kč,ustecky-kraj,družstevní,panelová,,
Prodej chaty/chalupy 75 m²,"Vrbno nad Lesy, okres Louny",2 790 000 Kč,ustecky-kraj,osobní,smíšená,,75 m
Prodej chaty/chalupy 75 m²,"Vrbno nad Lesy, okres Louny",2 790 000 Kč,ustecky-kraj,osobní,smíšená,,
Pronájem skladovacích prostor 3 525 m²,"Mlýnská, Hostomice, okres Teplice",Cena na vyžádání,ustecky-kraj,skladovací prostory,smíšená,,3525 m
Pronájem skladovacích prostor 3 525 m²,"Mlýnská, Hostomice, okres Teplice",Cena na vyžádání,ustecky-kraj,skladovací prostory,smíšená,,
Pronájem bytu 2+1 38 m²,"Jaroslava Vrchlického, Žatec, okres Louny",9 200 Kč/měsíc,ustecky-kraj,osobní,panelová,,38 m
Pronájem bytu 2+1 38 m²,"Jaroslava Vrchlického, Žatec, okres Louny",9 200 Kč/měsíc,ustecky-kraj,osobní,panelová,,
Prodej domu 112 m² s pozemkem 2 225 m²,"Košťálov - Kundratice, okres Semily",4 500 000 Kč,liberecky-kraj,osobní,cihlová,2225 m,112 m
Prodej domu 112 m² s pozemkem 2 225 m²,"Košťálov - Kundratice, okres Semily",4 500 000 Kč,liberecky-kraj,osobní,cihlová,2225 m,
Prodej domu 112 m² s pozemkem 2 225 m²,"Košťálov - Kundratice, okres Semily",4 500 000 Kč,liberecky-kraj,osobní,cihlová,,112 m
Prodej domu 112 m² s pozemkem 2 225 m²,"Košťálov - Kundratice, okres Semily",4 500 000 Kč,liberecky-kraj,osobní,cihlová,,
Pronájem kanceláře 84 m²,"Husovo náměstí, Chabařovice, okres Ústí nad Labem",11 500 Kč/měsíc,ustecky-kraj,s.r.o.,cihlová,,84 m
Prodej chaty/chalupy 70 m² s pozemkem 400 m²,"Český Jiřetín, okres Most",2 390 000 Kč,ustecky-kraj,osobní,smíšená,400 m,70 m
Pronájem kanceláře 84 m²,"Husovo náměstí, Chabařovice, okres Ústí nad Labem",11 500 Kč/měsíc,ustecky-kraj,s.r.o.,cihlová,,
Prodej chaty/chalupy 70 m² s pozemkem 400 m²,"Český Jiřetín, okres Most",2 390 000 Kč,ustecky-kraj,osobní,smíšená,400 m,
Prodej chaty/chalupy 70 m² s pozemkem 400 m²,"Český Jiřetín, okres Most",2 390 000 Kč,ustecky-kraj,osobní,smíšená,,70 m
Prodej chaty/chalupy 70 m² s pozemkem 400 m²,"Český Jiřetín, okres Most",2 390 000 Kč,ustecky-kraj,osobní,smíšená,,
Pronájem bytu 2+1 75 m²,"Mariánská, Česká Lípa",10 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,75 m
