title,location,price,region,property,building,land_area,util_area
Prodej domu 200 m² s pozemkem 243 m²,"Tkalcovská, Bystré, okres Svitavy",3 250 000 Kč,pardubicky-kraj,osobní,cihlová,243 m,200 m
Prodej domu 200 m² s pozemkem 243 m²,"Tkalcovská, Bystré, okres Svitavy",3 250 000 Kč,pardubicky-kraj,osobní,cihlová,243 m,
Prodej domu 200 m² s pozemkem 243 m²,"Tkalcovská, Bystré, okres Svitavy",3 250 000 Kč,pardubicky-kraj,osobní,cihlová,,200 m
Prodej domu 200 m² s pozemkem 243 m²,"Tkalcovská, Bystré, okres Svitavy",3 250 000 Kč,pardubicky-kraj,osobní,cihlová,,
Prodej stavebního pozemku 1 401 m²,"Včelákov, okres Chrudim",1 106 790 Kč,pardubicky-kraj,,osobní,,
Prodej domu 302 m² s pozemkem 1 044 m²,"Kamenec u Poličky, okres Svitavy",3 890 000 Kč,pardubicky-kraj,samostatný,cihlová,1044 m,302 m
Prodej domu 180 m² s pozemkem 809 m²,"Barchov, okres Pardubice",2 490 000 Kč,pardubicky-kraj,osobní,cihlová,809 m,180 m
Prodej domu 302 m² s pozemkem 1 044 m²,"Kamenec u Poličky, okres Svitavy",3 890 000 Kč,pardubicky-kraj,samostatný,cihlová,1044 m,
Prodej domu 302 m² s pozemkem 1 044 m²,"Kamenec u Poličky, okres Svitavy",3 890 000 Kč,pardubicky-kraj,samostatný,cihlová,,302 m
Prodej domu 302 m² s pozemkem 1 044 m²,"Kamenec u Poličky, okres Svitavy",3 890 000 Kč,pardubicky-kraj,samostatný,cihlová,,
Prodej domu 180 m² s pozemkem 809 m²,"Barchov, okres Pardubice",2 490 000 Kč,pardubicky-kraj,osobní,cihlová,809 m,
Prodej domu 180 m² s pozemkem 809 m²,"Barchov, okres Pardubice",2 490 000 Kč,pardubicky-kraj,osobní,cihlová,,180 m
Prodej domu 180 m² s pozemkem 809 m²,"Barchov, okres Pardubice",2 490 000 Kč,pardubicky-kraj,osobní,cihlová,,
Prodej obchodních prostor 1 286 m²,"Ke Mlýnu, Pardubice - Staré Čívice",32 999 000 Kč,pardubicky-kraj,obchodní prostory,smíšená,6206 m,1286 m
Prodej obchodních prostor 1 286 m²,"Ke Mlýnu, Pardubice - Staré Čívice",32 999 000 Kč,pardubicky-kraj,obchodní prostory,smíšená,6206 m,
Prodej obchodních prostor 1 286 m²,"Ke Mlýnu, Pardubice - Staré Čívice",32 999 000 Kč,pardubicky-kraj,obchodní prostory,smíšená,,1286 m
Prodej obchodních prostor 1 286 m²,"Ke Mlýnu, Pardubice - Staré Čívice",32 999 000 Kč,pardubicky-kraj,obchodní prostory,smíšená,,
Pronájem kanceláře 138 m²,"Pivovarská, Praha 5 - Smíchov",59 000 Kč/měsíc,praha,kanceláře,smíšená,,138 m
Pronájem kanceláře 138 m²,"Pivovarská, Praha 5 - Smíchov",59 000 Kč/měsíc,praha,kanceláře,smíšená,,
Pronájem bytu 3+kk 68 m²,"Tylova, Žamberk, okres Ústí nad Orlicí",10 000 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,68 m
Pronájem bytu 3+kk 68 m²,"Tylova, Žamberk, okres Ústí nad Orlicí",10 000 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,
Prodej chaty/chalupy 229 m² s pozemkem 2 764 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,samostatný,smíšená,2764 m,229 m
Prodej chaty/chalupy 229 m² s pozemkem 2 764 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,samostatný,smíšená,2764 m,
Prodej chaty/chalupy 229 m² s pozemkem 2 764 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,samostatný,smíšená,,229 m
Prodej chaty/chalupy 229 m² s pozemkem 2 764 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,samostatný,smíšená,,
Pronájem bytu 2+kk 65 m²,"Větrná, Svitavy - Lány",13 000 Kč/měsíc,pardubicky-kraj,družstevní,smíšená,,65 m
Prodej domu 130 m² s pozemkem 906 m²,"Zájezdec, okres Chrudim",8 890 000 Kč,pardubicky-kraj,samostatný,smíšená,906 m,130 m
Pronájem bytu 2+kk 65 m²,"Větrná, Svitavy - Lány",13 000 Kč/měsíc,pardubicky-kraj,družstevní,smíšená,,
Prodej domu 130 m² s pozemkem 906 m²,"Zájezdec, okres Chrudim",8 890 000 Kč,pardubicky-kraj,samostatný,smíšená,906 m,
Prodej domu 130 m² s pozemkem 906 m²,"Zájezdec, okres Chrudim",8 890 000 Kč,pardubicky-kraj,samostatný,smíšená,,130 m
Prodej domu 130 m² s pozemkem 906 m²,"Zájezdec, okres Chrudim",8 890 000 Kč,pardubicky-kraj,samostatný,smíšená,,
Pronájem bytu 4+kk 130 m²,"Hronovická, Pardubice - Zelené Předměstí",15 000 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,130 m
Prodej domu 90 m² s pozemkem 543 m²,"Talafusova, Vysoké Mýto - Litomyšlské Předměstí, okres Ústí nad Orlicí",4 242 000 Kč,pardubicky-kraj,osobní,cihlová,543 m,90 m
Pronájem bytu 4+kk 130 m²,"Hronovická, Pardubice - Zelené Předměstí",15 000 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,
Prodej domu 90 m² s pozemkem 543 m²,"Talafusova, Vysoké Mýto - Litomyšlské Předměstí, okres Ústí nad Orlicí",4 242 000 Kč,pardubicky-kraj,osobní,cihlová,543 m,
Prodej domu 90 m² s pozemkem 543 m²,"Talafusova, Vysoké Mýto - Litomyšlské Předměstí, okres Ústí nad Orlicí",4 242 000 Kč,pardubicky-kraj,osobní,cihlová,,90 m
Prodej domu 90 m² s pozemkem 543 m²,"Talafusova, Vysoké Mýto - Litomyšlské Předměstí, okres Ústí nad Orlicí",4 242 000 Kč,pardubicky-kraj,osobní,cihlová,,
